Index,STRUCTURE_NUMBER_008,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,Road_class,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109,DETOUR_KILOS_019,HAZUS_classficiation,site_class,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,maint_duration,rehab_duration,recon_duration,Age,DECK_STRUCTURE_TYPE_107,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,Vertical_clearance
1264,12930,20.3,13.6,2,1,Minor,5727,0.1,6,HWB10,B,15,3,30,180,360,19,1,6,6,7,99.99
1265,12950,39.9,14.2,3,2,Minor,14800,0.1,3,HWB12,B,55,2,30,180,360,42,1,5,5,4,99.99
1266,12960,27.6,15.8,2,1,Minor,13274,0.1,37,HWB10,B,10,3,30,180,360,19,1,6,6,6,99.99
1267,12971,49.2,12.3,2,2,Minor,5974,0.05,2,HWB10,B,0,3,30,180,360,2,1,8,8,8,99.99
1268,12980,49.7,11.1,4,2,Minor,12120,0.1,2,HWB15,B,25,3,30,180,360,38,1,7,7,7,99.99
1269,12990,19.8,9.9,1,11,Minor,12120,0.1,6,HWB3,B,0,1,30,180,360,70,N,6,6,6,99.99
1270,13000,59.6,11.7,4,2,Minor,15000,0.1,8,HWB15,B,0,3,30,180,360,17,1,7,7,7,99.99
1271,13010,11.9,12.5,3,2,Minor,2760,0.15,5,HWB3,B,30,1,30,180,360,3,1,8,8,6,99.99
1272,13020,64.9,11.1,4,2,Minor,2760,0.15,5,HWB15,B,35,3,30,180,360,3,1,6,7,7,99.99
1273,13030,25.9,11.1,2,1,Minor,1394,0.1,11,HWB10,B,10,3,30,180,360,35,1,5,5,7,99.99
1274,13040,48.8,13.7,6,2,Minor,800,0.1,2,HWB22,B,0,3,30,180,360,19,1,5,7,6,99.99
1275,13055,43.3,11.9,6,2,Minor,896,0.1,13,HWB22,B,0,3,30,180,360,28,1,7,7,7,99.99
1276,13057,82.6,11.9,4,2,Minor,896,0.1,13,HWB15,B,0,3,30,180,360,28,1,7,6,8,99.99
1277,13065,37.8,11.9,6,2,Minor,1012,0.1,13,HWB22,B,0,3,30,180,360,28,1,7,8,7,99.99
1278,13067,37.8,12.1,2,1,Minor,1012,0.1,13,HWB10,B,5,3,30,180,360,28,1,7,7,8,99.99
1279,13080,26.8,9.4,5,5,Minor,1829,0.1,8,HWB17,B,0,3,30,180,360,40,1,7,6,6,99.99
1281,13100,23.5,13.7,2,1,Minor,1281,0.1,6,HWB10,B,45,3,30,180,360,44,1,5,5,6,99.99
1282,13105,8.5,8.7,5,5,Minor,1050,0.18,14,HWB3,B,45,1,30,180,360,6,1,7,7,7,99.99
1284,13130,40.2,14.8,2,1,Minor,5477,0.04,10,HWB10,B,50,3,30,180,360,18,1,7,7,7,99.99
